"","baseMean","log2FoldChange","lfcSE","pvalue","padj","query"
"Pocillopora_acuta_HIv2___TS.g15.t2",171.434106603104,-0.246732488764539,1.03855295429014,0.00269427768668738,0.0137947017558394,"Pocillopora_acuta_HIv2___TS.g15.t2"
"Pocillopora_acuta_HIv2___RNAseq.g7981.t1c",72.0986001799835,-0.269878678137717,1.05714119121073,0.00270066727248324,0.0138225235064393,"Pocillopora_acuta_HIv2___RNAseq.g7981.t1c"
"Pocillopora_acuta_HIv2___TS.g25969.t1",361.609815841601,-0.409770120080203,1.07527730965867,0.00271452749099212,0.0138885481534171,"Pocillopora_acuta_HIv2___TS.g25969.t1"
"Pocillopora_acuta_HIv2___RNAseq.g28606.t1",1750.27220872435,-1.13405828391564,1.87491752314468,0.00272865199918785,0.0139558778346015,"Pocillopora_acuta_HIv2___RNAseq.g28606.t1"
"Pocillopora_acuta_HIv2___RNAseq.g7917.t1",325.684312282599,-0.29325876583202,1.04185445201845,0.00273603826617366,0.0139887089013559,"Pocillopora_acuta_HIv2___RNAseq.g7917.t1"
"Pocillopora_acuta_HIv2___RNAseq.g25311.t1",653.923287243924,-0.36936014673788,1.05774992770789,0.00274214439375629,0.0140149740322583,"Pocillopora_acuta_HIv2___RNAseq.g25311.t1"
"Pocillopora_acuta_HIv2___RNAseq.g3097.t1",290.125582934751,-2.08539333504305,1.71500441859797,0.00275387843460708,0.0140699744536054,"Pocillopora_acuta_HIv2___RNAseq.g3097.t1"
"Pocillopora_acuta_HIv2___RNAseq.g11722.t1",37.352150895933,2.28069260795494,1.75766418726498,0.00277503580828916,0.0141730642412057,"Pocillopora_acuta_HIv2___RNAseq.g11722.t1"
"Pocillopora_acuta_HIv2___RNAseq.g6249.t1",161.180844696875,-0.234076390197498,1.04011142141591,0.00277676405033274,0.0141768850067111,"Pocillopora_acuta_HIv2___RNAseq.g6249.t1"
"Pocillopora_acuta_HIv2___RNAseq.g29389.t1",80.7727460891959,-0.393661650317471,1.10976006076174,0.00279367098415377,0.0142581711767114,"Pocillopora_acuta_HIv2___RNAseq.g29389.t1"
"Pocillopora_acuta_HIv2___TS.g1898.t1",51.4126354914553,-0.762505118731977,1.39527840709466,0.00280206844267936,0.0142959851692819,"Pocillopora_acuta_HIv2___TS.g1898.t1"
"Pocillopora_acuta_HIv2___TS.g21212.t1",71.0531706971678,-2.36543836957818,1.39798457008062,0.00283632949402894,0.014462765087659,"Pocillopora_acuta_HIv2___TS.g21212.t1"
