CpG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
56	138031	123460	52.79	261491
57	162193	118410	57.80	280603
58	126920	121021	51.19	247941
59	157956	114725	57.93	272681
60	123833	120192	50.75	244025
61	169386	115254	59.51	284640
62	135675	120827	52.89	256502
63	160240	117634	57.67	277874
64	126720	119332	51.50	246052
65	157054	113943	57.95	270997
66	126643	117615	51.85	244258
67	163461	119064	57.86	282525
68	134003	122017	52.34	256020
69	160759	118832	57.50	279591
70	127861	122146	51.14	250007
71	156460	120411	56.51	276871
72	125660	124331	50.27	249991
73	169901	119118	58.79	289019
74	137513	123652	52.65	261165
75	161910	119600	57.51	281510
76	130077	122459	51.51	252536
77	157755	118246	57.16	276001
78	126308	121300	51.01	247608
79	165817	118447	58.33	284264
80	136705	120372	53.18	257077
81	162245	118618	57.77	280863
82	129182	123383	51.15	252565
83	155436	117688	56.91	273124
84	127567	118586	51.82	246153
85	163099	116739	58.28	279838
86	134523	120027	52.85	254550
87	157513	116708	57.44	274221
88	126547	119246	51.49	245793
89	152379	115451	56.89	267830
90	122545	118476	50.84	241021
91	159678	115009	58.13	274687
92	132798	118687	52.81	251485
93	155799	114811	57.57	270610
94	126738	117971	51.79	244709
95	145572	114183	56.04	259755
96	119729	116288	50.73	236017
97	154161	113904	57.51	268065
98	129380	115540	52.83	244920
99	148935	113853	56.67	262788
100	123000	116056	51.45	239056
101	144099	112649	56.12	256748
102	118383	114331	50.87	232714
103	147774	112780	56.72	260554
104	125129	115032	52.10	240161
105	143505	111620	56.25	255125
106	120871	114343	51.39	235214
107	137533	110987	55.34	248520
108	115387	113192	50.48	228579
109	143647	109899	56.66	253546
110	119085	112554	51.41	231639
111	137124	109076	55.70	246200
112	114956	111393	50.79	226349
113	131607	107683	55.00	239290
114	112246	109951	50.52	222197
115	135985	107576	55.83	243561
116	117652	109342	51.83	226994
117	129347	108231	54.44	237578
118	110387	110093	50.07	220480
119	123792	106416	53.77	230208
120	107045	107755	49.83	214800
121	130994	105267	55.44	236261
122	111486	108848	50.60	220334
123	123382	105320	53.95	228702
124	105833	108147	49.46	213980
125	118288	104482	53.10	222770
126	103092	104611	49.63	207703
127	121589	102956	54.15	224545
128	105425	105449	49.99	210874
129	116089	102047	53.22	218136
130	100614	104498	49.05	205112
131	110615	101520	52.14	212135
132	97373	102083	48.82	199456
133	113090	100107	53.04	213197
134	100553	101389	49.79	201942
135	107624	100053	51.82	207677
136	96381	100821	48.87	197202
137	104759	97905	51.69	202664
138	92128	99225	48.15	191353
139	106468	96736	52.39	203204
140	94657	98232	49.07	192889
141	102111	94748	51.87	196859
142	90109	98290	47.83	188399
143	99095	95022	51.05	194117
144	87796	95513	47.90	183309
145	99646	93514	51.59	193160
146	89856	96392	48.25	186248
147	95023	94128	50.24	189151
148	87255	96249	47.55	183504
149	93294	91756	50.42	185050
150	76915	88407	46.52	165322
151	71040	59878	54.26	130918

CpG context (R2)
================
position	count methylated	count unmethylated	% methylation	coverage
1	9555	18338	34.26	27893
2	5931	16543	26.39	22474
3	7181	16375	30.48	23556
4	8593	19553	30.53	28146
5	6919	19793	25.90	26712
6	7617	19706	27.88	27323
7	6130	16591	26.98	22721
8	6184	15654	28.32	21838
9	6240	16082	27.95	22322
10	6523	15840	29.17	22363
11	6514	15969	28.97	22483
12	6758	15789	29.97	22547
13	6794	16475	29.20	23269
14	6758	15542	30.30	22300
15	6548	15513	29.68	22061
16	6569	15536	29.72	22105
17	6460	15523	29.39	21983
18	6220	15199	29.04	21419
19	6238	15104	29.23	21342
20	6272	14668	29.95	20940
21	6274	15636	28.64	21910
22	6506	14745	30.62	21251
23	6390	14511	30.57	20901
24	6134	14689	29.46	20823
25	6195	15442	28.63	21637
26	6187	14201	30.35	20388
27	6100	14525	29.58	20625
28	6402	13891	31.55	20293
29	5914	14545	28.91	20459
30	5988	14182	29.69	20170
31	5876	14236	29.22	20112
32	5904	13775	30.00	19679
33	5909	14035	29.63	19944
34	6001	14057	29.92	20058
35	5759	14075	29.04	19834
36	5942	13849	30.02	19791
37	5761	13833	29.40	19594
38	5740	13252	30.22	18992
39	5784	13386	30.17	19170
40	5821	13359	30.35	19180
41	5587	13173	29.78	18760
42	5702	13022	30.45	18724
43	5541	13163	29.62	18704
44	5712	12851	30.77	18563
45	5655	13423	29.64	19078
46	5778	13158	30.51	18936
47	5621	12985	30.21	18606
48	5491	12731	30.13	18222
49	5467	12917	29.74	18384
50	5616	12415	31.15	18031
51	5335	12606	29.74	17941
52	5512	12498	30.61	18010
53	5334	12419	30.05	17753
54	5352	12454	30.06	17806
55	5215	12562	29.34	17777
56	5186	12000	30.18	17186
57	5256	12096	30.29	17352
58	5264	12136	30.25	17400
59	5323	11887	30.93	17210
60	5399	12025	30.99	17424
61	5121	12003	29.91	17124
62	5158	11644	30.70	16802
63	4863	11431	29.85	16294
64	4889	11647	29.57	16536
65	4931	11557	29.91	16488
66	5049	11280	30.92	16329
67	5108	11292	31.15	16400
68	4702	11254	29.47	15956
69	4771	11487	29.35	16258
70	4758	11203	29.81	15961
71	4746	11150	29.86	15896
72	4766	11057	30.12	15823
73	4667	11401	29.05	16068
74	4667	11192	29.43	15859
75	4455	11284	28.31	15739
76	4469	11067	28.77	15536
77	4553	11007	29.26	15560
78	4697	10926	30.06	15623
79	4826	10930	30.63	15756
80	4569	10708	29.91	15277
81	4565	10866	29.58	15431
82	4441	10521	29.68	14962
83	4462	10396	30.03	14858
84	4447	10279	30.20	14726
85	4416	10656	29.30	15072
86	4347	10296	29.69	14643
87	4266	10229	29.43	14495
88	4310	10213	29.68	14523
89	4259	10216	29.42	14475
