gene_id,LCM_15,LCM_16,LCM_20,LCM_21,LCM_26,LCM_27,LCM_4,LCM_5,LCM_8,LCM_9
Pocillopora_acuta_HIv2___RNAseq.g27698.t1,476,2556,3075,5857,2085,1242,9850,1368,687,170
Pocillopora_acuta_HIv2___RNAseq.g27699.t1,5140,3194,7347,1758,8219,2143,1844,7286,4269,480
Pocillopora_acuta_HIv2___RNAseq.g27700.t1,517,854,1010,347,2427,2614,530,771,767,831
Pocillopora_acuta_HIv2___RNAseq.g27701.t1,2312,3713,2375,3028,1596,807,72,2700,1426,2153
Pocillopora_acuta_HIv2___TS.g10461.t1,0,75,59,129,1435,0,158,399,1284,0
Pocillopora_acuta_HIv2___RNAseq.g27702.t1,49,827,271,0,0,0,640,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g27704.t1,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g27705.t1,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g27706.t1,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___TS.g10467.t1,0,3,4,0,43,9,26,17,0,0
Pocillopora_acuta_HIv2___TS.g10465.t1,391,0,0,0,0,0,0,0,228,68
Pocillopora_acuta_HIv2___TS.g10466.t2,2143,760,1516,1276,631,0,0,346,0,0
Pocillopora_acuta_HIv2___RNAseq.g27708.t1,15,6,16,14,8,11,3,29,8,8
Pocillopora_acuta_HIv2___TS.g10468.t1,429,10,56,211,208,328,5,52,133,36
Pocillopora_acuta_HIv2___RNAseq.g27711.t1,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g27714.t1,129,0,197,875,63,0,4,218,31,77
Pocillopora_acuta_HIv2___RNAseq.g27717.t1,760,0,82,0,369,127,0,106,0,0
Pocillopora_acuta_HIv2___TS.g10480.t1,2,1,5,2,1,2,2,1,1,1
Pocillopora_acuta_HIv2___TS.g10485.t1,47,2,27,25,20,49,0,48,0,69
Pocillopora_acuta_HIv2___RNAseq.g27730.t1,197,38,158,20,285,177,0,118,366,0
Pocillopora_acuta_HIv2___TS.g10493.t1,56,0,17,9,63,10,0,19,22,28
Pocillopora_acuta_HIv2___RNAseq.g27738.t1,3,0,0,0,0,2,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g27741.t1,33,0,0,0,0,20,0,0,20,0
Pocillopora_acuta_HIv2___RNAseq.g27743.t1,7,16,7,0,0,0,0,9,0,0
Pocillopora_acuta_HIv2___RNAseq.g27744.t1,2,0,0,0,0,3,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g27748.t1,35,20,73,38,43,0,0,0,32,0
Pocillopora_acuta_HIv2___RNAseq.g27754.t1,96,146,154,138,160,22,194,58,30,2
Pocillopora_acuta_HIv2___RNAseq.g27755.t1,248,0,91,27,4,52,0,77,0,37
Pocillopora_acuta_HIv2___RNAseq.g27756.t1,2,1,7,0,4,0,6,2,0,0
Pocillopora_acuta_HIv2___TS.g10518.t1,5,0,4,11,2,0,0,10,0,0
Pocillopora_acuta_HIv2___RNAseq.g27763.t1,2,0,4,5,3,0,5,2,0,0
Pocillopora_acuta_HIv2___TS.g10524.t1,136,0,14,25,63,0,13,53,0,37
Pocillopora_acuta_HIv2___RNAseq.g27767.t1,16,0,0,0,0,34,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g27768.t1,148,9,150,0,180,73,38,182,211,520
Pocillopora_acuta_HIv2___RNAseq.g27778.t1,1,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___TS.g10540.t2,2,0,5,0,0,11,0,1,16,0
Pocillopora_acuta_HIv2___RNAseq.g27779.t1,7,0,9,0,0,30,0,0,25,0
Pocillopora_acuta_HIv2___RNAseq.g27780.t1,0,0,7,96,14,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g27782.t1,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___TS.g10545.t1,0,0,0,0,0,0,0,16,0,0
Pocillopora_acuta_HIv2___TS.g10546.t1,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g27783.t1,2255,124,1549,2604,2665,599,844,2713,288,0
Pocillopora_acuta_HIv2___RNAseq.g27784.t1,1373,1853,1866,125,2193,2566,1304,2310,1218,0
Pocillopora_acuta_HIv2___RNAseq.g27785.t1,526,0,2272,1003,449,372,0,1223,13,552
Pocillopora_acuta_HIv2___RNAseq.g27786.t1,498,77,5,852,785,0,1684,1061,393,0
Pocillopora_acuta_HIv2___TS.g10551.t2,3274,1959,1619,4905,2626,3822,1699,4465,3657,1336
Pocillopora_acuta_HIv2___RNAseq.g27789.t1,0,1292,641,167,0,1048,0,3,21,0
Pocillopora_acuta_HIv2___RNAseq.g27788.t1,975,157,28,51,911,0,104,78,88,145
Pocillopora_acuta_HIv2___TS.g10554.t3,2969,1744,2230,2158,1594,1287,264,1441,517,418
Pocillopora_acuta_HIv2___RNAseq.g27793.t1,2260,554,76,0,815,27,132,654,1376,0
Pocillopora_acuta_HIv2___RNAseq.g27794.t1a,0,0,0,0,64,0,0,0,0,112
Pocillopora_acuta_HIv2___RNAseq.g27794.t1b,137,65,0,554,136,25,473,347,26,200
Pocillopora_acuta_HIv2___TS.g10560.t2,124,338,5,691,708,0,1282,92,0,0
Pocillopora_acuta_HIv2___RNAseq.g27796.t1,168,138,241,180,7,481,873,412,5,693
Pocillopora_acuta_HIv2___RNAseq.g27797.t1,764,0,1302,1063,1153,1640,0,691,629,0
Pocillopora_acuta_HIv2___RNAseq.403_t,44,99,225,135,13,24,156,67,0,0
Pocillopora_acuta_HIv2___RNAseq.g27798.t1,28,18,19,36,18,17,52,11,10,28
Pocillopora_acuta_HIv2___RNAseq.g27800.t1,561,0,917,487,998,1043,0,1222,0,0
Pocillopora_acuta_HIv2___RNAseq.g27801.t1,292,396,2123,0,73,0,0,779,410,315
Pocillopora_acuta_HIv2___TS.g10567.t1,4753,569,1868,171,4591,0,3,5237,5450,0
Pocillopora_acuta_HIv2___RNAseq.g27805.t1,428,0,0,0,374,0,0,636,0,0
Pocillopora_acuta_HIv2___RNAseq.g27806.t1,3,0,0,0,0,0,3,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g27812.t1,3,0,30,0,9,0,0,10,11,0
Pocillopora_acuta_HIv2___TS.g10599.t1,85,393,14,260,724,116,0,0,0,3
Pocillopora_acuta_HIv2___RNAseq.g27839.t1,191,81,109,174,119,31,840,54,1,609
Pocillopora_acuta_HIv2___RNAseq.445_t,5221,4021,4848,5074,4916,2847,1728,4640,5079,3748
Pocillopora_acuta_HIv2___TS.g10606.t1,762,439,810,1018,1321,346,333,1146,1509,0
Pocillopora_acuta_HIv2___RNAseq.g27841.t1,1547,574,3267,1133,1860,2107,95,2155,1066,474
Pocillopora_acuta_HIv2___TS.g10608.t2,903,1953,2003,186,3595,2300,948,2364,2850,2246
Pocillopora_acuta_HIv2___RNAseq.448_t,1209,187,2323,0,921,2020,2074,913,1284,0
Pocillopora_acuta_HIv2___RNAseq.g27844.t1,88,0,0,404,362,0,595,348,0,0
Pocillopora_acuta_HIv2___RNAseq.g27846.t1,315,0,167,0,244,0,182,616,730,8
Pocillopora_acuta_HIv2___RNAseq.g27847.t2,450,224,826,0,944,229,0,1009,209,0
Pocillopora_acuta_HIv2___RNAseq.g27848.t1,1125,341,70,657,1218,616,676,489,251,40
Pocillopora_acuta_HIv2___RNAseq.g27849.t1,0,0,0,0,222,135,0,0,53,0
Pocillopora_acuta_HIv2___RNAseq.g27850.t1,2055,589,970,0,1504,962,251,1789,90,0
Pocillopora_acuta_HIv2___RNAseq.g27852.t1,211,322,16,0,253,0,335,277,0,0
Pocillopora_acuta_HIv2___RNAseq.g27853.t1,7202,6456,11587,11343,15415,9181,4358,13190,9974,5435
Pocillopora_acuta_HIv2___TS.g10619.t1,2153,73,1496,38,2888,1038,1602,392,431,288
Pocillopora_acuta_HIv2___TS.g10620.t1,831,0,844,1410,619,739,0,1250,617,0
Pocillopora_acuta_HIv2___RNAseq.g27856.t2,89,148,0,195,14,0,275,1434,19,0
Pocillopora_acuta_HIv2___TS.g10627.t2,0,0,97,716,1558,692,0,1270,671,0
Pocillopora_acuta_HIv2___RNAseq.g27860.t1,27,9,11,3,28,4,23,15,10,10
