"","LCM_1","LCM_11","LCM_12","LCM_17","LCM_18","LCM_24","LCM_25","LCM_3","LCM_32","LCM_33"
"Pocillopora_acuta_HIv2___TS.g10267.t1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pocillopora_acuta_HIv2___RNAseq.g27508.t1",NA,NA,40,NA,NA,0,NA,NA,NA,NA
"Pocillopora_acuta_HIv2___RNAseq.g27509.t1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pocillopora_acuta_HIv2___RNAseq.g27510.t1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pocillopora_acuta_HIv2___RNAseq.g27511.t1",NA,NA,NA,NA,NA,9.25,NA,NA,NA,NA
"Pocillopora_acuta_HIv2___TS.g10272.t1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pocillopora_acuta_HIv2___RNAseq.g27514.t1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pocillopora_acuta_HIv2___RNAseq.123_t",NA,NA,NA,0,0,NA,NA,NA,NA,NA
"Pocillopora_acuta_HIv2___RNAseq.g27516.t1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pocillopora_acuta_HIv2___RNAseq.g27517.t1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pocillopora_acuta_HIv2___RNAseq.g27518.t1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pocillopora_acuta_HIv2___RNAseq.g27519.t1",NA,NA,NA,NA,NA,2,NA,NA,NA,NA
"Pocillopora_acuta_HIv2___TS.g10279.t1b",33,NA,NA,NA,50,18.5,60,NA,NA,NA
"Pocillopora_acuta_HIv2___TS.g10279.t1a",NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"Pocillopora_acuta_HIv2___RNAseq.g27522.t1",NA,NA,NA,NA,7.428571429,5.534883721,9,66.66666667,0,NA
"Pocillopora_acuta_HIv2___RNAseq.g27523.t1",15.62318841,4.597402597,26.71428571,10.3,17.73333333,3.811764706,2.916129032,12.36666667,1.8,60.24137931
"Pocillopora_acuta_HIv2___TS.g10282.t1",NA,NA,NA,0,NA,2.482758621,5.823529412,20,NA,NA
"Pocillopora_acuta_HIv2___RNAseq.g27525.t1",24.70588235,65,NA,62.71428571,0,5.097087379,0,9.272727273,NA,60
"Pocillopora_acuta_HIv2___TS.g10284.t2",0,70.91666667,60.7,NA,29.42857143,27.76190476,32.30434783,NA,20,NA
"Pocillopora_acuta_HIv2___RNAseq.g27527.t1",NA,NA,NA,NA,NA,10,NA,NA,NA,NA
"Pocillopora_acuta_HIv2___RNAseq.g27528.t1",NA,NA,0,NA,NA,NA,NA,NA,NA,0
"Pocillopora_acuta_HIv2___RNAseq.g27529.t1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pocillopora_acuta_HIv2___TS.g10287.t1",NA,NA,0,2.222222222,5.517241379,2.078512397,12.1097561,6.666666667,NA,NA
"Pocillopora_acuta_HIv2___RNAseq.g27531.t1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pocillopora_acuta_HIv2___RNAseq.g27532.t1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pocillopora_acuta_HIv2___RNAseq.g27533.t1",NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"Pocillopora_acuta_HIv2___RNAseq.g27534.t1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pocillopora_acuta_HIv2___RNAseq.g27535.t1",NA,NA,NA,7.692307692,NA,6.193548387,0,NA,NA,NA
"Pocillopora_acuta_HIv2___TS.g10293.t1a",NA,NA,NA,NA,NA,2.153846154,0,NA,NA,NA
"Pocillopora_acuta_HIv2___TS.g10293.t1b",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pocillopora_acuta_HIv2___TS.g10294.t1",9.9,0,0,7.7,16.30434783,3.260638298,4.642857143,NA,NA,88.88888889
"Pocillopora_acuta_HIv2___RNAseq.g27538.t1",33.33333333,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pocillopora_acuta_HIv2___RNAseq.g27539.t1",6.666666667,NA,0,NA,0,2.421052632,0,NA,NA,NA
"Pocillopora_acuta_HIv2___TS.g10297.t4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pocillopora_acuta_HIv2___RNAseq.g27541.t1",60,NA,NA,NA,66.66666667,40.84615385,100,NA,NA,NA
"Pocillopora_acuta_HIv2___RNAseq.g27542.t1",NA,NA,NA,NA,NA,7.25,NA,NA,NA,NA
"Pocillopora_acuta_HIv2___TS.g10300.t1",8.571428571,NA,NA,NA,NA,5.025641026,10.22222222,40,NA,NA
"Pocillopora_acuta_HIv2___TS.g10301.t1",NA,NA,NA,17,3.333333333,4.804347826,0,13,0,NA
"Pocillopora_acuta_HIv2___RNAseq.g27545.t1",1.428571429,NA,NA,16.66666667,0,2.095238095,0,NA,NA,NA
"Pocillopora_acuta_HIv2___TS.g10303.t2",0,0,0,20.58974359,19.78409091,2.473404255,0.8333333333,7.125,33.18181818,NA
"Pocillopora_acuta_HIv2___RNAseq.g27547.t1",NA,NA,20,NA,10.75,1.738317757,2.4,20,9.666666667,NA
"Pocillopora_acuta_HIv2___RNAseq.g27548.t1",0,60,16.66666667,50.70833333,20,4.4,19.35714286,20,27.5,40
"Pocillopora_acuta_HIv2___RNAseq.g27549.t1",NA,NA,NA,0,NA,14.77272727,1.818181818,NA,NA,NA
"Pocillopora_acuta_HIv2___RNAseq.g27550.t1",0,NA,40,20,7.2,6.626865672,0,NA,NA,NA
"Pocillopora_acuta_HIv2___TS.g10309.t1",NA,NA,NA,20,0,0,13.33333333,NA,0,NA
"Pocillopora_acuta_HIv2___RNAseq.g27552.t1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pocillopora_acuta_HIv2___RNAseq.g27553.t1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pocillopora_acuta_HIv2___TS.g10312.t1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pocillopora_acuta_HIv2___RNAseq.g27554.t1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pocillopora_acuta_HIv2___TS.g10314.t1",28.33333333,NA,20.28571429,NA,65,0,2,0,NA,NA
"Pocillopora_acuta_HIv2___TS.g10315.t1",25,16.52380952,39.16666667,14.42105263,23.90909091,3.376884422,7.666666667,75,100,85
"Pocillopora_acuta_HIv2___TS.g10316.t1",0,0,0,14.63636364,8.666666667,4.809210526,3,16.66666667,18.46153846,NA
"Pocillopora_acuta_HIv2___TS.g10317.t1",30.14285714,64.5,22.83333333,19.7,10.98148148,2.265060241,3.196721311,29,42,80
"Pocillopora_acuta_HIv2___RNAseq.g27559.t1",0,NA,NA,0,NA,0,NA,NA,NA,NA
"Pocillopora_acuta_HIv2___RNAseq.g27560.t1",NA,20,NA,NA,NA,0.1463414634,1.166666667,32,NA,NA
"Pocillopora_acuta_HIv2___TS.g10320.t1",0,NA,NA,0,NA,17.41666667,16,NA,0,NA
"Pocillopora_acuta_HIv2___TS.g10321.t1",NA,2,NA,29.11111111,14.28571429,2.090909091,0,33.33333333,NA,NA
"Pocillopora_acuta_HIv2___RNAseq.g27564.t1",NA,NA,NA,NA,20,18.66666667,NA,NA,NA,NA
"Pocillopora_acuta_HIv2___RNAseq.g27565.t1",NA,NA,NA,NA,NA,3.571428571,NA,NA,NA,NA
"Pocillopora_acuta_HIv2___RNAseq.g27566.t1",1.1,0,NA,65.71428571,15.30555556,5.576,2.84,NA,8.585365854,NA
"Pocillopora_acuta_HIv2___RNAseq.g27567.t1",20,NA,NA,NA,NA,15,NA,NA,NA,0
"Pocillopora_acuta_HIv2___RNAseq.g27568.t1",NA,NA,NA,NA,20,6.058823529,90,NA,100,NA
"Pocillopora_acuta_HIv2___TS.g10328.t2",NA,NA,NA,NA,35,11.18181818,100,26,NA,NA
"Pocillopora_acuta_HIv2___RNAseq.g27570.t1",NA,NA,NA,NA,80,4.825,NA,NA,NA,NA
"Pocillopora_acuta_HIv2___TS.g10330.t2",NA,NA,1.428571429,8,0,2.864197531,8.486486486,NA,0,98.33333333
"Pocillopora_acuta_HIv2___RNAseq.g27572.t1",NA,60,NA,NA,12.5,9.263157895,14,0,NA,NA
"Pocillopora_acuta_HIv2___RNAseq.g27573.t2",0,NA,NA,NA,57,0,NA,NA,NA,NA
"Pocillopora_acuta_HIv2___RNAseq.g27574.t1",NA,0,NA,NA,3.333333333,3.733333333,0,NA,NA,NA
